DATAFLOW,MEASURE: Data Item,REGIONTYPE: Region Type,ASGS_2021: Region,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10201: Gosford,A: Annual,2022,-1364,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,10202: Wyong,A: Annual,2022,25,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11501: Baulkham Hills,A: Annual,2022,-1503,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11502: Dural - Wisemans Ferry,A: Annual,2022,-129,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11503: Hawkesbury,A: Annual,2022,-289,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11504: Rouse Hill - McGraths Hill,A: Annual,2022,5012,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11601: Blacktown,A: Annual,2022,-2621,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11602: Blacktown - North,A: Annual,2022,8403,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11603: Mount Druitt,A: Annual,2022,-2369,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11701: Botany,A: Annual,2022,169,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11702: Marrickville - Sydenham - Petersham,A: Annual,2022,-1231,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11703: Sydney Inner City,A: Annual,2022,-4042,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11801: Eastern Suburbs - North,A: Annual,2022,-3164,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11802: Eastern Suburbs - South,A: Annual,2022,-3199,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11901: Bankstown,A: Annual,2022,-2531,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11902: Canterbury,A: Annual,2022,-3684,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11903: Hurstville,A: Annual,2022,-2538,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,11904: Kogarah - Rockdale,A: Annual,2022,-3011,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12001: Canada Bay,A: Annual,2022,-1889,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12002: Leichhardt,A: Annual,2022,-1363,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12003: Strathfield - Burwood - Ashfield,A: Annual,2022,-3545,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12101: Chatswood - Lane Cove,A: Annual,2022,-2204,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12102: Hornsby,A: Annual,2022,-1066,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12103: Ku-ring-gai,A: Annual,2022,-1598,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12104: North Sydney - Mosman,A: Annual,2022,-2490,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12201: Manly,A: Annual,2022,-1085,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12202: Pittwater,A: Annual,2022,-925,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12203: Warringah,A: Annual,2022,-2745,PSNS: Persons,,,
ABS:ABS_REGIONAL_ASGS2021(1.2.0),MIGRATION_4: Net internal migration (no.),SA3: Statistical Area Level 3,12301: Camden,A: Annual,2022,44,PSNS: Persons,,,
